Name,Image,Street,Address,City,County,State,Zip,Website,Phone,Email,Insurance,Medicaid,Medicare,Uninsured,Self-Pay,SlidingScale,Methadone,Suboxone,Residential,Outpatient,Detox,Alcohol,DUI,Family,Group,Individual,ParentsandChildren,Pregnant,Adolescent,TransitionalLiving,DualDiagnosis,Other,Hours,Medical,Referral,Additional,Reviewed
Carolina Partners in Mental Healthcare,https://www.carolinapartners.com/wp-content/uploads/2017/03/Alderman-Clinic.jpg,21 Hillsboro Street,,Pittsboro,Chatham,NC,27312,https://www.carolinapartners.com/pittsboro/,919-929-9610,unavailable,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,Suboxone,No Residential,Outpatient,No Detox,Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,Phone 8am-5pm,Medical,Not required,Behavioral Care,3/16/2018
Carrboro Police Dept,https://d3926qxcw0e1bh.cloudfront.net/pages_photos/e3/58/e3582e9bdac5ef34c6914b5b232c04da.JPG,100 N. Greensboro Street,,Carrboro,Orange,NC,27510,https://www.townofcarrboro.org/225/Police,919-918-7397,Police@townofcarrboro.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,Referrals Only,3/16/2018
Chaham County Health Department-Clinic,http://infocusstudios.com/wp-content/uploads/2015/04/chatham.png,1000 South Tenth Avenue,,Pittsboro,Chatham,NC,27312,http://www.chathamnc.org/services/health,919-742-5641,healthalliance@chathamnc.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 8am-5pm,Unknown,Unknown,Does not provide treatment for substance abuse.,3/16/2018
Chapel Hill Police Dept,https://pbs.twimg.com/profile_images/378800000340480507/c2904fc25def87bd3373fcfb1dc55909_400x400.jpeg,828 Martin Luther King Blvd,,Chapel Hill,Orange,NC,27514,http://www.townofchapelhill.org/town-hall/departments-services/police,919-968-2760,policeinfo@townofchapelhill.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 8:30-5pm,Unknown,Unknown,Referrals Only,3/16/2018
Chatham County Sheriff Office,https://d3926qxcw0e1bh.cloudfront.net/pages_avatar_photos/8f/d2/8fd288b89c67aef31ec4fe04b42aa25d.jpg,295 West Street,,Pittsboro,Chatham,NC,27312,http://www.chathamnc.org/government/departments-programs/sheriff-s-office,919-542-2811,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 8-5pm,Unknown,Unknown,Referrals Only,3/16/2018
Chatham Recovery,http://www.matsdirectory.com/gallery/29870_morse_clinic_of_hillsborough_27278_axd.JPG,1758 E. 11th Street,,Siler City,Chatham,NC,27344,http://www.morseclinics.com/locations/chatham-recovery,919-663-3303,achils@chathamrecovery.com,No Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,No Sliding Scale,Methadone,Suboxone,No Residential,Outpatient,No Detox,No Alcohol Treatment,No DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,M-F 6am-11am Sat & Sun 7-9am ,No,Not Required,Medication management,3/16/2018
Crossroads Treatment Centers,https://www.opiate.com/wp-content/uploads/2706-250x129.png,2706 North Church Street,,Greensboro,Guilford,NC,27405,http://www.crossroadstreatmentcenters.com/opiate-treatment-centers/north-carolina/greensboro/ ,336-272-9990,unavailable,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,Sliding Scale Unknown,Methadone,Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment Unknown,DUI Unknown,Family ,Group,Individual,No Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis Unknown,,"First visit walk-in by 5am, Tuesdays and Thursdays only, with picture ID and Medicaid card (if have one.) M-F 5:00am-10:00am; Sa 6:00am-9:00am; Su 6:00am-7:00am",Medical,Physician Appointments required,Counseling required every 2 weeks,10/22/2017
Daymark Recovery Services,http://www.alcoholtreatmentcentersnorthcarolina.com/wp-content/uploads/2016/08/Daymark-Recovery-Services.jpg,5209 W Wendover Avenue,,High Point,Guilford,NC,27265,http://www.daymarkrecovery.org,336-899-1550,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,Residential,Outpatient,No Detox,Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,Mental Health,M-F 8am-8pm,Medical,Not Required,24 hr crisis hotline 866-275-9552,10/22/2017
Daymark Recovery Services-Archdale,http://www.alcoholtreatmentcentersnorthcarolina.com/wp-content/uploads/2016/08/Daymark-Recovery-Services.jpg,205 Balfour Drive,,Archdale,Randolph,NC,27263,http://www.daymarkrecovery.org,336-431-0700,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,No Residential,Outpatient,No Detox,No Alcohol Treatment,No DUI,Family ,Group,Individual,No Parents and Children,No Pregnant,No Adolescents,No Transitional Living,No Dual Diagnosis,,M-F 8am-5pm,No,Not Required,Focuses on mental health,3/16/2018
Daymark Recovery Services- Richmond County,http://www.alltreatment.com/images/facility-thumbs/xDaymarkRecoveryServices.png.pagespeed.ic.xrpOxjbI8o.png,116 South Lawrence Street,,Rockingham,Richmond,NC,28379,http://www.daymarkrecovery.org,910-895-2462,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,No Residential,Outpatient,No Detox,No Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,M-F 8am-5pm,Medical,Referral from psychiatrist required,,3/16/2018
Daymark Recovery Services- Montgomery Center,http://www.alltreatment.com/images/facility-thumbs/xDaymarkRecoveryServices.png.pagespeed.ic.xrpOxjbI8o.png,227 North Main Street,Suite A,Troy,Montgomery,NC,27371,http://www.daymarkrecovery.org,910-572-3681,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,No Residential,Outpatient,No Detox,No Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,M-F 8am-5pm,Medical,Not Required,,3/16/2018
Deal With It Professional Counseling,,235 North Main Street,,Candor,Montgomery,NC,27229,https://intervention.com/listings/deal-with-it-professional-counseling/,910-624-6262,unavailable,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone,No Residential,Outpatient,No Detox,Alcohol Treatment,DUI Unknown,Family,Group,Individual,Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagram,"Only Counseling Services Provided, No Medical",Unknown,No,Not Required,Tricare Accepted,3/16/2018
"Deb Young, LCAS",,515 College Rd,,Greensboro,Guilford,NC,27410,https://www.healthgrades.com/providers/deborah-young-2yk2g,336-299-2725,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,,3/16/2018
Dove's Nest,http://www.bbm-arch.com/wp-content/uploads/2012/09/41.jpg,2855 West Blvd,,Charlotte ,Mecklenburg,NC,28208,http://charlotterescuemission.org/recovery-programs/doves-nest/,704-333-4673,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,"Must be a NC resident, at least 14 weeks pregnant, with no severe psychiatric history",,3/16/2018
"Elizabeth Atkinson, LPC",,1201 Battleground Ave ,Suite 104,Greensboro,Guilford,NC,27408,https://www.healthgrades.com/providers/elizabeth-atkinson-xvxh9,336-669-0146,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,,3/16/2018
Evans Blount Total Access Care,http://evansblounttac.com/wp-content/uploads/2017/08/just-hands-with-name-1.png,2031 Martin Luther King Jr. Drive,,Greensboro,Guilford,NC,27406,http://www.evansblounttac.com/,336-271-5888,mjohnson@evansblounttac.com,Private Insurance,Medicaid,Medicare Unknown,Uninsured Unknown,Self-Pay,Sliding Scale Unknown,Methadone,Suboxone,Residential,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI,Family ,Group,Individual,Parents and Children,Pregnant,Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,Whole person Care Mental Health Day Care,Unknown,Unknown,Unknown,Mental Health Counseling Available  Cognitive Processing Therapy (PTSD),10/22/2017
Fellowship Hall,https://i.pinimg.com/originals/d6/b2/3c/d6b23c3f66ba1b21489d0277208aac1d.jpg,5140 Dunstan Road,,Greensboro,Guilford,NC,27405,http://www.fellowshiphall.com,800-659-3381,infofellowship@fellowshiphall.org,Private Insurance,No Medicaid,No Medicare,Uninsured,Self-Pay,No Sliding Scale,No Methadone,No Suboxone ,Residential,Outpatient,Detox,Alcohol Treatment,DUI Unknown,Family,Group,Individual,No Parents and Children,No Pregnant,No Adolescents,Transitional Living,No Dual Diagnosis,,24/7,Medical,Not required,Only accepts private insurance,10/22/2017
Freedom House Recovery Center,http://www.drugtreatmentcentersnorthcarolina.com/wp-content/uploads/2016/08/Freedom-House-Recovery-Center.png,104 New Stateside Drive,,Chapel Hill,Orange,NC,27516,http://www.freedomhouserecovery.org ,919-967-8844,admin@fhrecovery.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,Methadone,Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,Parents and Children,Pregnant,Adolescents,Transitional Living,Dual Diagnosis,Services for deaf and hard of hearing ,M- Sat 7am-7pm,Medical,Not required,,10/22/2017
Freedom House Recovery Center,https://rehabreviews.com/wp-content/uploads/2016/01/Freedom-House-Recovery-Center-e1453930075183.jpg,106 New Stateside Drive,,Chapel Hill,Orange,NC,27516,http://freedomhouserecovery.org/,919-942-2803,admin@fhrecovery.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,Residential,Outpatient,No Detox,No Alcohol Treatment,No DUI,Family ,Group,Individual,No Parents and Children,No Pregnant,Adolescents,Transitional Living,Dual Diagnosis,Males only treatment center,M- Sat 7am-7pm,Medical,Not required,,3/16/2018
Freedom House Recovery Center (Facility Based Crisis and Detox Center),https://rehabreviews.com/wp-content/uploads/2016/01/Freedom-House-Recovery-Center-e1453930075183.jpg,110 New Stateside Drive,,Chapel Hill,Orange,NC,27516,http://freedomhouserecovery.org/,919-942-2803 x217,admin@fhrecovery.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,Suboxone,Residential ,No Outpatient,Detox,Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,No Pregnant,Adolescents,Transitional Living,Dual Diagnosis,,24/7,Medical,Not required,"FBCS and Outpatient Clinics are walk-in.  An assessment is done which will dictate the appropriate level of care.  There may be a waiting list for half-way house placement, but candidates are screened and if appropriate placed on the waiting list.",3/16/2018
Freedom House Recovery Center (Chapel Hill Outpatient Clinic),https://rehabreviews.com/wp-content/uploads/2016/01/Freedom-House-Recovery-Center-e1453930075183.jpg,118 New Stateside Drive,,Chapel Hill,Orange,NC,27516,http://freedomhouserecovery.org/,919-942-2803,admin@fhrecovery.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,Methadone,Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,Pregnant,No Adolescents,Transitional Living,Dual Diagnosis,,8:30am-5pm,"No, referred to local hospital",Not required,,3/16/2018
Freedom House Recovery Center- Womens Halfway House,https://rehabreviews.com/wp-content/uploads/2016/01/Freedom-House-Recovery-Center-e1453930075183.jpg,114 New Stateside Drive,,Chapel Hill,Orange,NC,27516,http://freedomhouserecovery.org/,919-942-2803 x213,Mary.o@fhrecovery.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,Residential ,No Outpatient,No Detox,No Alcohol Treatment,DUI,No Family,Group,Individual,No Parents and Children,No Pregnant,Adolescents,Transitional Living,Dual Diagnosis,,M- Sat 7am-7pm,Medical,Not required,Females only treatment center,3/16/2018
Guilford County DHHS,http://www.myguilford.com/wp-content/uploads/2017/01/DHHS_logo_transp_color.png,1203 Maple Street ,,Greensboro,Guilford,NC,27405,http://www.myguilford.com/humanservices/,336-641-3447,mgreen@myguilford.com,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 8am-5pm,Unknown,Unknown,Does not provide treatment for substance abuse.,3/16/2018
High Point Behavioral Health,https://cdn.practicelink.com/content/clientimages/9288/130327_HPR_SignReveal_Web.jpg,601 North Elm Street,,High Point,Guilford,NC,27261,https://www.highpointregional.com/our_services/behavioral_health.aspx,800-525-9375,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential,Outpatient,Detox,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group,Individual,Parents and Children Unknown,Pregnant,Adolescents,Transitional Living Unknown,Dual Diagnosis,,24/7,Unknown,Unknown,Confidential assessment 24/7 Need to be medically cleared first Need to bring all medications with you,3/16/2018
Hillsborough Police Dept,http://policeexecutive.net/wp-content/uploads/2010/09/hillsborough.jpg,127 N. Churton Street,,Hillsborough,Orange,NC,27278,https://www.hillsboroughnc.gov/government/departments-and-divisions/police/,919-732-9381,unavailable,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"No treatment, only referral",3/16/2018
Holly Hill Hospital Adult Campus,https://www.bbb.org/ProfileImages/fc44c420-bdac-49c3-ad54-d3a14ca04dd8.jpeg,3019 Falstaff Rd ,,Raleigh,Wake,NC,27610,https://hollyhillhospital.com/,919-250-7000,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family,Group,Individual,Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,Walk ins welcome,24/7,Medical,Not required,,3/16/2018
Holly Hill Hospital Children's Campus,https://detoxtorehab.com/wp-content/uploads/2015/10/HH1.jpg,201 Michael J Smith Ln,,Raleigh,Wake,NC,27610,https://hollyhillhospital.com/,919-250-7600,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone,No Residential,Outpatient,No Detox,No Alcohol Treatment,No DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,Walk ins welcome,24/7,Medical,Not required,,3/16/2018
Horizons,http://www.med.unc.edu/obgyn/Patient_Care/unc-horizons-program/images/2017_horizonsbanner_2.png,1105 W. NC Hwy 54 Bypass,,Carrboro,Orange,NC,27510,http://www.unchorizons.org/,800-862-4050,unavailable,Private Insurance,Medicaid,No Medicare,No Uninsured,No Self-Pay,No Sliding Scale,No Methadone,Suboxone,Residential,Outpatient,No Detox,Alcohol Treatment,No DUI,Family,Group,Individual,No Parents and Children,Pregnant ,No Adolescents,No Transitional Living,Dual Diagnosis,,24/7,Medical,Required,MH & substance abuse treatment,3/16/2018
Hospice: Overdose Loss Support Group,https://www.hospicegso.org/wp-content/uploads/2016/11/HPCG-Logo-Vertical-Color.png,2500 Summit Ave,,Greensboro,Guilford,NC,27405,http://www.hospicegso.org ,336-621-5565,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone,No Residential,No Outpatient,No Detox,No Alcohol Treatment,No DUI,No Family,No Group,Individual,No Parents and Children,No Pregnant,Adolescents,No Transitional Living,No Dual Diagnosis,Appointment Rquired,24/7,No,Required,Only support for elderly patients and their families,3/16/2018
Insight Human Services,http://insightnc.org/wp-content/uploads/2015/03/insight.jpg,665 West Fourth Street,,Winston Salem,Forsyth,NC,27101,http://www.insightnc.org,336-725-8389,help@insightnc.org,Private Insurance,Medicaid,Medicare Unknown,Uninsured,Self-Pay,Sliding Scale,Methadone,Suboxone,Residential,Outpatient,Detox,Alcohol Treatment,DUI Unknown,Family ,Group,Individual,Parents and Children Unknown,Pregnant,Adolescents,No Transitional Living,Dual Diagnosis,,Unknown,Unknown,Unknown,,10/22/2017
Journey Counseling and Consulting,,617 North Main Street,,Troy,Montgomery,NC,27371,http://www.journeycounselingnc.com/,910-572-2225,unavailable,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,No Residential,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family ,Group Unknown,Individual,No Parents and Children,Pregnant Unknown,Adolescents,Transitional Living Unknown,Dual Diagnosis Unknown,,M-F 9-5,Unknown,Unknown,Tricare accepted,3/16/2018
"Katherine Glenn, PhD",https://nebula.wsimg.com/c6928a5f32e03d93429cdc1857fa922d?AccessKeyId=C8A5A8E4090E5881EAC4&disposition=0&alloworigin=1,806 Green Valley Road,Suite 301,Greensboro,Guilford,NC,27410,https://www.triadcounseling.net/katherine-glenn.html,336-272-8090,unavailable,Private Insurance,Medicaid,No Medicare,Uninsured,Self-Pay,No Sliding Scale,No Methadone,No Suboxone,No Residential,No Outpatient,No Detox,Alcohol Treatment,DUI,No Family,No Group,Individual,No Parents and Children,Pregnant,Adolescents,No Transitional Living,No Dual Diagnosis,Appointment only,8am-6am,No,Not requires,Addiction Counseling ,3/16/2018
